Country,Life Expectancy Both,Life Expectancy Female,Life Expectancy Male,Urban Population Percentage,Urban Population Absolute,Population Density
United Arab Emirates,83.2,84.4,82.4,81.1,9207088.0,136.0
United Kingdom,81.6,83.4,79.7,84.5,58798650.0,287.0
United States,79.6,82.1,77.2,82.8,287421363.0,38.0
Uruguay,78.5,82.2,74.6,0.0,0.0,19.0
Uzbekistan,72.7,75.7,69.7,48.1,17835913.0,87.0
Vanuatu,71.8,74.3,69.7,25.4,85244.0,27.0
Venezuela,72.8,76.8,69.1,0.0,0.0,32.0
Vietnam,74.9,79.5,70.2,41.4,42039428.0,328.0
Western Sahara,71.8,74.0,70.1,97.0,583007.0,2.0
Yemen,69.6,71.7,67.5,33.0,13801674.0,79.0
Zambia,66.7,69.1,64.3,46.8,10256668.0,29.0
Zimbabwe,63.3,65.6,60.8,37.9,6429761.0,44.0
